title,price,rating,reviews,availability
RPlay Play-Station 4 PS4 1TB Slim Edition Jet Black With 1 Wireless Controller,,4.8 out of 5 stars,8 ratings,Not Available
"Playstation Sony 4, 500GB Slim System [CUH-2215AB01], Black, 3003347",,4.6 out of 5 stars,313 ratings,Not Available
Sony Playstation PS4 1TB Black Console,,4.7 out of 5 stars,"1,056 ratings",Not Available
PlayStation 4 Slim 1TB Console,,4.7 out of 5 stars,"15,416 ratings",In Stock
Sony PlayStation 4 Pro 1TB White (PS4),,4.4 out of 5 stars,940 ratings,Only 3 left in stock - order soon
PlayStation 4 500GB Console [Old Model][Discontinued],,4.6 out of 5 stars,"13,663 ratings",Only 2 left in stock - order soon
PlayStation 4 Slim 500GB Console - Uncharted 4 Bundle Discontinued,,4.8 out of 5 stars,"6,399 ratings",
Sony PlayStation 4 Pro 1TB Console - Black (PS4 Pro),,4.5 out of 5 stars,"4,208 ratings",Only 2 left in stock - order soon
PlayStation 4 Slim 500GB Console [Discontinued] (Renewed),,4.5 out of 5 stars,"1,264 ratings",Not Available
"PS 4 Slim Seyted Upgraded 2TB Console with Wireless Controller, Jet Black",,4.2 out of 5 stars,69 ratings,Not Available
DualShock 4 Wireless Controller for PlayStation 4 - Jet Black,,4.7 out of 5 stars,"146,011 ratings",Not Available
Sony Playstation 4 Dual Shock 4 Controller,,4.6 out of 5 stars,"2,352 ratings",Not Available
DualShock 4 Wireless Controller for PlayStation 4 - Midnight Blue,,4.7 out of 5 stars,"146,011 ratings",Not Available
DualShock 4 Wireless Controller for PlayStation 4 - Magma Red,,4.7 out of 5 stars,"146,011 ratings",Not Available
【Upgraded】 Wireless PS4 Remote Controller Compatible with Playstation 4/Slim/Pro with Dual Vibration/6-Axis Motion Sensor/Audio Replacement for PS4 Controller,,4.4 out of 5 stars,368 ratings,Not Available
"PS4 Controller Wireless, with USB Cable/1000mAh Battery/Dual Vibration/6-Axis Motion Control/3.5mm Audio Jack/Multi Touch Pad/Share Button, PS4 Controller Compatible with PS4/Slim/Pro/PC",,4.2 out of 5 stars,519 ratings,Not Available
"2 Pack Wireless Controller for Playstation 4, Qyszy88 Wireless Controller for Sony PS4/Pro/Slim/, with Double Shock/Stereo Headset Jack/Touch Pad/Six-axis Motion Control，Great Gamepad Gift (Blue+Purple)",,4.3 out of 5 stars,589 ratings,Not Available
